PersonnelID,Crash ID,Gender,Age Group,Road User
217,20244061,Male,40_to_64,Pedal cyclist
218,20241009,Male,65_to_74,Driver
219,20241072,Female,17_to_25,Pedestrian
220,20243129,Male,40_to_64,Driver
221,20242219,Male,26_to_39,Driver
222,20241219,Female,75_or_older,Driver
223,20244010,Male,40_to_64,Driver
224,20244040,Male,26_to_39,Motorcycle rider
225,20243171,Female,26_to_39,Driver
226,20242075,Male,40_to_64,Driver
227,20243079,Female,40_to_64,Driver
228,20245103,Male,75_or_older,Driver
229,20242068,Male,17_to_25,Driver
230,20241045,Male,40_to_64,Driver
231,20243017,Female,40_to_64,Passenger
232,20243017,Male,0_to_16,Passenger
233,20242128,Male,26_to_39,Driver
234,20247024,Female,40_to_64,Pedestrian
235,20241160,Male,40_to_64,Motorcycle rider
236,20241081,Female,17_to_25,Driver
237,20242103,Male,0_to_16,Other/-9
238,20241135,Male,26_to_39,Driver
239,20241209,Male,26_to_39,Passenger
240,20245051,Male,26_to_39,Driver
241,20242140,Male,75_or_older,Pedestrian
242,20242140,Female,75_or_older,Pedestrian
243,20242142,Female,17_to_25,Driver
244,20243107,Male,26_to_39,Motorcycle rider
245,20243020,Male,26_to_39,Pedestrian
246,20241151,Male,40_to_64,Motorcycle rider
247,20243158,Female,17_to_25,Driver
248,20241286,Female,75_or_older,Passenger
249,20243102,Male,17_to_25,Motorcycle rider
250,20241303,Female,40_to_64,Motorcycle rider
251,20246029,Female,40_to_64,Driver
252,20248005,Male,26_to_39,Motorcycle rider
253,20243035,Male,0_to_16,Unknown
254,20244018,Male,75_or_older,Pedestrian
255,20241060,Male,40_to_64,Driver
256,20241060,Female,0_to_16,Passenger
257,20242022,Female,40_to_64,Driver
258,20241037,Male,40_to_64,Driver
259,20241257,Male,40_to_64,Driver
260,20241128,Male,40_to_64,Driver
261,20243089,Male,65_to_74,Driver
262,20242181,Male,17_to_25,Driver
263,20243082,Male,40_to_64,Motorcycle rider
264,20245080,Male,65_to_74,Driver
265,20243150,Female,40_to_64,Driver
266,20245041,Female,40_to_64,Driver
267,20242152,Male,26_to_39,Other/-9
268,20247010,Female,40_to_64,Driver
269,20245088,Male,26_to_39,Driver
270,20243239,Male,26_to_39,Driver
271,20243170,Male,65_to_74,Pedestrian
272,20242040,Male,26_to_39,Driver
273,20243084,Male,40_to_64,Motorcycle rider
274,20241030,Male,40_to_64,Driver
275,20245016,Male,26_to_39,Passenger
276,20245016,Male,17_to_25,Passenger
277,20243127,Male,65_to_74,Motorcycle rider
278,20243003,Female,75_or_older,Passenger
279,20243266,Male,65_to_74,Driver
280,20241042,Female,65_to_74,Passenger
281,20243121,Male,17_to_25,Motorcycle rider
282,20245124,Female,75_or_older,Driver
283,20245043,Female,17_to_25,Driver
284,20245043,Female,26_to_39,Passenger
285,20245044,Male,26_to_39,Driver
286,20241175,Male,17_to_25,Driver
287,20245061,Male,40_to_64,Driver
288,20243072,Male,26_to_39,Motorcycle rider
289,20242232,Female,17_to_25,Pedestrian
290,20244057,Male,26_to_39,Driver
291,20242173,Male,17_to_25,Motorcycle rider
292,20241091,Male,0_to_16,Passenger
293,20243201,Male,26_to_39,Driver
294,20242135,Female,40_to_64,Driver
295,20243225,Male,40_to_64,Motorcycle rider
296,20245116,Male,75_or_older,Pedestrian
297,20241167,Male,26_to_39,Motorcycle rider
298,20244060,Male,40_to_64,Motorcycle rider
299,20241268,Female,26_to_39,Motorcycle rider
300,20244013,Male,17_to_25,Motorcycle rider
301,20245002,Male,26_to_39,Motorcycle rider
302,20243235,Male,40_to_64,Passenger
303,20243235,Female,65_to_74,Passenger
304,20244059,Male,0_to_16,Passenger
305,20244059,Female,0_to_16,Passenger
306,20245015,Female,75_or_older,Driver
307,20241266,Male,26_to_39,Motorcycle rider
308,20243131,Male,40_to_64,Driver
309,20245111,Female,65_to_74,Pedestrian
310,20242080,Male,17_to_25,Driver
311,20245160,Male,26_to_39,Driver
312,20241287,Male,17_to_25,Driver
313,20241152,Male,26_to_39,Driver
314,20243161,Male,26_to_39,Driver
315,20242042,Female,0_to_16,Pedestrian
316,20243210,Female,40_to_64,Motorcycle rider
317,20244025,Male,75_or_older,Motorcycle rider
318,20243088,Male,75_or_older,Pedestrian
319,20241211,Male,40_to_64,Driver
320,20242007,Male,26_to_39,Driver
321,20247050,Male,40_to_64,Motorcycle rider
322,20245037,Male,26_to_39,Driver
323,20241204,Male,75_or_older,Driver
324,20244062,Male,17_to_25,Motorcycle rider
325,20241137,Male,65_to_74,Motorcycle rider
326,20243117,Male,17_to_25,Motorcycle rider
327,20242081,Male,26_to_39,Motorcycle rider
328,20242015,Male,40_to_64,Motorcycle rider
329,20243206,Male,17_to_25,Motorcycle rider
330,20242034,Male,40_to_64,Motorcycle rider
331,20248003,Female,26_to_39,Motorcycle rider
332,20244032,Female,17_to_25,Driver
333,20241153,Male,40_to_64,Driver
334,20242138,Male,26_to_39,Driver
335,20243198,Male,40_to_64,Driver
336,20243190,Female,26_to_39,Unknown
337,20242107,Male,0_to_16,Pedestrian
338,20243080,Female,26_to_39,Pedestrian
339,20242204,Male,26_to_39,Motorcycle rider
340,20242139,Male,40_to_64,Driver
341,20245086,Male,0_to_16,Motorcycle rider
342,20247026,Female,26_to_39,Driver
343,20245063,Female,17_to_25,Passenger
344,20241103,Male,40_to_64,Driver
345,20247025,Female,40_to_64,Pedestrian
346,20242129,Female,26_to_39,Driver
347,20244027,Female,75_or_older,Driver
348,20243006,Male,75_or_older,Pedestrian
349,20243108,Male,17_to_25,Motorcycle rider
350,20243212,Male,0_to_16,Pedal cyclist
351,20241237,Male,0_to_16,Motorcycle rider
352,20241052,Male,26_to_39,Pedestrian
353,20241308,Male,26_to_39,Driver
354,20246027,Male,40_to_64,Pedestrian
355,20244072,Female,0_to_16,Pedestrian
356,20245125,Male,17_to_25,Driver
357,20241195,Female,40_to_64,Driver
358,20244043,Female,75_or_older,Driver
359,20241102,Male,75_or_older,Driver
360,20243194,Male,26_to_39,Motorcycle rider
361,20245148,Male,75_or_older,Driver
362,20246017,Female,75_or_older,Passenger
363,20246017,Male,75_or_older,Passenger
364,20243070,Male,26_to_39,Motorcycle rider
365,20243165,Male,26_to_39,Motorcycle rider
366,20241063,Male,40_to_64,Driver
367,20241132,Male,17_to_25,Motorcycle rider
368,20241292,Female,26_to_39,Driver
369,20245141,Female,26_to_39,Driver
370,20241189,Female,65_to_74,Driver
371,20241233,Male,17_to_25,Passenger
372,20241233,Female,40_to_64,Passenger
373,20241233,Male,40_to_64,Driver
374,20242115,Male,65_to_74,Driver
375,20242167,Male,75_or_older,Driver
376,20241016,Female,75_or_older,Driver
377,20246025,Male,65_to_74,Driver
378,20243234,Male,40_to_64,Driver
379,20241220,Female,40_to_64,Driver
380,20243002,Female,0_to_16,Unknown
381,20241034,Male,17_to_25,Motorcycle rider
382,20242012,Female,75_or_older,Pedestrian
383,20243009,Male,17_to_25,Driver
384,20243009,Male,26_to_39,Motorcycle rider
385,20245018,Male,17_to_25,Driver
386,20241269,Male,40_to_64,Driver
387,20242093,Male,65_to_74,Driver
388,20242176,Male,17_to_25,Motorcycle rider
389,20242255,Male,17_to_25,Motorcycle rider
390,20241066,Male,40_to_64,Driver
391,20242175,Male,17_to_25,Motorcycle rider
392,20243207,Female,65_to_74,Pedestrian
393,20242029,Male,26_to_39,Pedestrian
394,20241246,Male,40_to_64,Driver
395,20242046,Male,26_to_39,Driver
396,20241078,Male,17_to_25,Driver
397,20245065,Male,26_to_39,Driver
398,20243064,Male,40_to_64,Pedestrian
399,20241013,Female,17_to_25,Passenger
400,20241013,Male,17_to_25,Passenger
401,20246019,Male,40_to_64,Driver
402,20247019,Male,17_to_25,Driver
403,20247039,Male,26_to_39,Driver
404,20242257,Male,75_or_older,Passenger
405,20241138,Male,40_to_64,Motorcycle rider
406,20245013,Male,17_to_25,Driver
407,20247045,Male,Undetermined,Pedestrian
408,20244014,Male,65_to_74,Driver
409,20242053,Male,17_to_25,Driver
410,20244069,Female,40_to_64,Passenger
411,20243111,Female,17_to_25,Driver
412,20247028,Female,17_to_25,Driver
413,20243067,Male,40_to_64,Driver
414,20242186,Male,40_to_64,Driver
415,20242250,Male,17_to_25,Motorcycle rider
416,20245078,Male,40_to_64,Pedal cyclist
417,20243167,Male,26_to_39,Motorcycle rider
418,20245150,Male,17_to_25,Passenger
419,20243106,Female,26_to_39,Pedestrian
420,20242098,Male,26_to_39,Motorcycle rider
421,20241179,Male,40_to_64,Motorcycle rider
422,20242070,Female,40_to_64,Driver
423,20243261,Male,40_to_64,Motorcycle rider
424,20243227,Male,17_to_25,Driver
425,20242243,Male,75_or_older,Pedal cyclist
426,20242102,Female,75_or_older,Driver
427,20245165,Male,40_to_64,Passenger
428,20241109,Male,17_to_25,Driver
429,20243187,Male,26_to_39,Pedestrian
430,20245028,Male,40_to_64,Driver
431,20241301,Male,40_to_64,Motorcycle rider
432,20243135,Male,26_to_39,Driver
433,20245166,Male,40_to_64,Motorcycle rider
434,20245110,Male,17_to_25,Driver
435,20241248,Male,75_or_older,Driver
436,20245030,Male,40_to_64,Driver
437,20243268,Male,40_to_64,Driver
438,20242071,Male,26_to_39,Motorcycle rider
439,20241020,Male,40_to_64,Motorcycle rider
440,20241294,Female,0_to_16,Pedestrian
441,20241304,Male,40_to_64,Driver
442,20245112,Male,40_to_64,Passenger
443,20242123,Male,40_to_64,Pedestrian
444,20243197,Female,40_to_64,Unknown
445,20242144,Male,26_to_39,Pedestrian
446,20241199,Male,17_to_25,Driver
447,20241199,Female,26_to_39,Passenger
448,20243066,Male,17_to_25,Passenger
449,20243203,Male,40_to_64,Driver
450,20243233,Male,17_to_25,Driver
451,20242209,Male,40_to_64,Driver
452,20242056,Male,40_to_64,Pedestrian
453,20245152,Female,26_to_39,Driver
454,20242130,Male,40_to_64,Motorcycle rider
455,20243109,Male,40_to_64,Driver
456,20243109,Female,40_to_64,Passenger
457,20243010,Male,65_to_74,Driver
458,20247035,Female,Undetermined,Other/-9
459,20243181,Male,17_to_25,Motorcycle rider
460,20246018,Female,40_to_64,Driver
461,20241071,Female,40_to_64,Pedestrian
462,20241186,Male,0_to_16,Pedestrian
463,20243078,Male,26_to_39,Motorcycle rider
464,20241223,Male,40_to_64,Pedestrian
465,20245136,Male,65_to_74,Pedestrian
466,20241221,Male,40_to_64,Driver
467,20241143,Male,17_to_25,Driver
468,20243242,Male,40_to_64,Driver
469,20247031,Male,17_to_25,Motorcycle rider
470,20242189,Female,17_to_25,Driver
471,20245102,Male,26_to_39,Driver
472,20242170,Female,40_to_64,Driver
473,20243043,Male,40_to_64,Driver
474,20241140,Male,17_to_25,Driver
475,20244063,Male,75_or_older,Motorcycle rider
476,20245010,Male,75_or_older,Driver
477,20241131,Male,65_to_74,Motorcycle rider
478,20245019,Male,17_to_25,Driver
479,20242172,Male,40_to_64,Pedal cyclist
480,20241111,Male,26_to_39,Driver
481,20242055,Male,65_to_74,Pedestrian
482,20241017,Male,17_to_25,Motorcycle pillion passenger
483,20244067,Male,40_to_64,Pedestrian
484,20246024,Male,40_to_64,Pedestrian
485,20241254,Male,17_to_25,Motorcycle pillion passenger
486,20241254,Male,17_to_25,Motorcycle rider
487,20247004,Male,40_to_64,Driver
488,20243011,Male,65_to_74,Motorcycle rider
489,20245147,Male,75_or_older,Driver
490,20246011,Female,75_or_older,Driver
491,20242177,Female,65_to_74,Pedestrian
492,20241127,Male,40_to_64,Driver
493,20241210,Female,75_or_older,Passenger
494,20242132,Male,40_to_64,Driver
495,20242132,Male,26_to_39,Passenger
496,20242184,Male,0_to_16,Passenger
497,20243024,Male,26_to_39,Motorcycle rider
498,20241253,Male,17_to_25,Driver
499,20245058,Male,0_to_16,Passenger
500,20245058,Female,17_to_25,Passenger
501,20245058,Female,26_to_39,Passenger
502,20242224,Male,17_to_25,Driver
503,20243031,Male,17_to_25,Driver
504,20242069,Male,17_to_25,Motorcycle rider
505,20245076,Male,26_to_39,Driver
506,20243156,Male,26_to_39,Motorcycle rider
507,20242251,Female,40_to_64,Pedestrian
508,20244034,Male,40_to_64,Pedal cyclist
509,20242090,Male,26_to_39,Motorcycle rider
510,20243231,Female,26_to_39,Passenger
511,20243231,Female,40_to_64,Passenger
512,20243231,Female,Undetermined,Passenger
513,20243231,Male,26_to_39,Passenger
514,20242194,Male,40_to_64,Driver
515,20245085,Male,26_to_39,Driver
516,20243142,Male,65_to_74,Driver
517,20242043,Female,65_to_74,Pedal cyclist
518,20243124,Male,65_to_74,Driver
519,20244007,Male,75_or_older,Motorcycle rider
520,20242060,Male,75_or_older,Pedestrian
521,20243104,Female,26_to_39,Pedestrian
522,20244041,Female,26_to_39,Driver
523,20247043,Female,Undetermined,Pedestrian
524,20246026,Male,17_to_25,Driver
525,20243021,Male,26_to_39,Driver
526,20245140,Male,40_to_64,Driver
527,20242155,Male,40_to_64,Driver
528,20242032,Male,26_to_39,Pedestrian
529,20241285,Male,65_to_74,Motorcycle rider
530,20245011,Male,40_to_64,Motorcycle rider
531,20244066,Male,40_to_64,Pedestrian
532,20242064,Male,26_to_39,Pedal cyclist
533,20242164,Male,17_to_25,Motorcycle rider
534,20244035,Male,75_or_older,Driver
535,20242252,Male,65_to_74,Driver
536,20243018,Male,40_to_64,Motorcycle rider
537,20242086,Male,40_to_64,Motorcycle rider
538,20243217,Male,65_to_74,Pedestrian
539,20243251,Female,26_to_39,Passenger
540,20243058,Female,0_to_16,Passenger
541,20245053,Male,26_to_39,Driver
542,20247038,Female,40_to_64,Pedestrian
543,20244046,Male,40_to_64,Driver
544,20245014,Female,0_to_16,Passenger
545,20243085,Male,65_to_74,Pedestrian
546,20244039,Male,26_to_39,Driver
547,20243240,Male,75_or_older,Driver
548,20247049,Female,40_to_64,Passenger
549,20247017,Male,65_to_74,Driver
550,20246002,Male,17_to_25,Driver
551,20246002,Male,26_to_39,Passenger
552,20242099,Female,65_to_74,Passenger
553,20242099,Male,65_to_74,Driver
554,20247036,Female,40_to_64,Passenger
555,20247036,Male,17_to_25,Passenger
556,20241176,Male,26_to_39,Motorcycle rider
557,20243063,Male,26_to_39,Motorcycle rider
558,20247022,Male,26_to_39,Driver
559,20241086,Male,40_to_64,Pedestrian
560,20241224,Male,0_to_16,Passenger
561,20241265,Male,26_to_39,Motorcycle rider
562,20241202,Female,75_or_older,Pedestrian
563,20245052,Male,40_to_64,Driver
564,20245064,Female,17_to_25,Driver
565,20246023,Male,40_to_64,Driver
566,20241293,Male,40_to_64,Driver
567,20241299,Male,40_to_64,Driver
568,20244078,Male,75_or_older,Pedestrian
569,20243164,Male,40_to_64,Pedestrian
570,20242201,Male,40_to_64,Motorcycle rider
571,20245117,Male,75_or_older,Pedestrian
572,20241307,Male,40_to_64,Driver
573,20242074,Male,17_to_25,Driver
574,20242074,Male,40_to_64,Driver
575,20241243,Male,17_to_25,Driver
576,20241243,Male,40_to_64,Driver
577,20247034,Female,17_to_25,Pedestrian
578,20241260,Male,17_to_25,Driver
579,20243004,Male,26_to_39,Driver
580,20246014,Male,17_to_25,Motorcycle rider
581,20246014,Male,26_to_39,Motorcycle rider
582,20242024,Male,75_or_older,Driver
583,20245105,Male,65_to_74,Driver
584,20243169,Male,65_to_74,Motorcycle rider
585,20243081,Male,75_or_older,Driver
586,20243081,Male,40_to_64,Driver
587,20242169,Male,40_to_64,Driver
588,20242119,Female,26_to_39,Driver
589,20241110,Male,40_to_64,Motorcycle rider
590,20241082,Male,17_to_25,Motorcycle rider
591,20242062,Male,26_to_39,Other/-9
592,20245132,Male,17_to_25,Passenger
593,20241159,Male,40_to_64,Driver
594,20246022,Male,17_to_25,Passenger
595,20241229,Male,0_to_16,Driver
596,20245062,Male,40_to_64,Driver
597,20242026,Male,17_to_25,Passenger
598,20247009,Male,0_to_16,Passenger
599,20242268,Male,40_to_64,Pedestrian
600,20242238,Male,40_to_64,Pedal cyclist
601,20242122,Female,40_to_64,Pedal cyclist
602,20241046,Male,17_to_25,Passenger
603,20241046,Female,17_to_25,Passenger
604,20243192,Male,75_or_older,Driver
605,20241032,Female,40_to_64,Driver
606,20241032,Male,40_to_64,Passenger
607,20241031,Male,0_to_16,Motorcycle rider
608,20243254,Male,40_to_64,Pedal cyclist
609,20243133,Male,26_to_39,Driver
610,20241203,Male,65_to_74,Driver
611,20247046,Undetermined,75_or_older,Passenger
612,20243118,Male,26_to_39,Driver
613,20243173,Male,65_to_74,Pedal cyclist
614,20243199,Male,40_to_64,Driver
615,20244003,Male,65_to_74,Driver
616,20241298,Male,65_to_74,Driver
617,20242112,Female,26_to_39,Driver
618,20242112,Male,0_to_16,Passenger
619,20243092,Male,40_to_64,Driver
620,20243042,Male,26_to_39,Motorcycle rider
621,20243221,Female,26_to_39,Unknown
622,20244005,Male,75_or_older,Driver
623,20243178,Male,40_to_64,Motorcycle rider
624,20245074,Male,40_to_64,Motorcycle rider
625,20242196,Male,26_to_39,Motorcycle rider
626,20244050,Female,75_or_older,Driver
627,20241208,Male,26_to_39,Driver
628,20242259,Male,65_to_74,Driver
629,20242212,Male,17_to_25,Motorcycle rider
630,20244045,Female,75_or_older,Pedestrian
631,20243019,Male,26_to_39,Motorcycle rider
632,20241036,Male,26_to_39,Driver
633,20242226,Female,40_to_64,Pedestrian
634,20247007,Male,65_to_74,Driver
635,20243074,Male,0_to_16,Pedal cyclist
636,20241003,Male,40_to_64,Driver
637,20241277,Male,17_to_25,Motorcycle rider
638,20241249,Male,75_or_older,Pedestrian
639,20242020,Male,17_to_25,Motorcycle rider
640,20242108,Male,26_to_39,Driver
641,20243120,Male,40_to_64,Motorcycle rider
642,20242187,Male,26_to_39,Driver
643,20245075,Male,40_to_64,Driver
644,20243116,Male,40_to_64,Passenger
645,20243116,Male,65_to_74,Driver
646,20245151,Male,40_to_64,Pedestrian
647,20242133,Male,40_to_64,Driver
648,20241092,Male,17_to_25,Passenger
649,20245050,Female,75_or_older,Driver
650,20245050,Male,75_or_older,Passenger
651,20245091,Male,0_to_16,Passenger
652,20242121,Male,26_to_39,Driver
653,20245054,Male,26_to_39,Driver
654,20243214,Male,26_to_39,Driver
655,20241118,Female,65_to_74,Driver
656,20245096,Male,65_to_74,Driver
657,20243157,Male,17_to_25,Passenger
658,20241190,Male,40_to_64,Driver
659,20241097,Male,75_or_older,Passenger
660,20242265,Female,17_to_25,Passenger
661,20242265,Male,17_to_25,Driver
662,20241250,Male,75_or_older,Driver
663,20242200,Male,17_to_25,Driver
664,20242178,Male,40_to_64,Passenger
665,20242234,Male,17_to_25,Driver
666,20242048,Female,26_to_39,Motorcycle rider
667,20245007,Male,26_to_39,Passenger
668,20245126,Female,75_or_older,Passenger
669,20245126,Female,75_or_older,Driver
670,20242003,Male,65_to_74,Driver
671,20243061,Male,17_to_25,Driver
672,20243252,Female,26_to_39,Driver
673,20243252,Male,0_to_16,Passenger
